values:Timestamp,close,high,low,open,volume
1434386341,126.4600,126.6150,126.4182,126.6150,492600
1434386642,126.4601,126.4800,126.3900,126.4600,299800
1434386940,126.7200,126.7300,126.4600,126.4600,1333200
1434387240,126.6999,126.7199,126.6100,126.7190,321300
1434387598,126.6800,126.7500,126.6000,126.7030,311500
1434387898,126.6865,126.7100,126.5900,126.6800,159800
1434388140,126.7047,126.7100,126.6300,126.6810,102700
1434388443,126.7700,126.7700,126.6400,126.7000,157300
1434388741,126.7799,126.8000,126.7400,126.7650,173400
1434389042,126.6700,126.7999,126.6700,126.7800,472900
1434389398,126.6460,126.7000,126.6000,126.6730,184900
1434389646,126.7000,126.7000,126.5800,126.6500,182400
1434389940,126.6238,126.7200,126.6200,126.7100,142100
1434390241,126.6000,126.6400,126.4600,126.6210,357000
1434390540,126.6400,126.6450,126.5600,126.5947,141000
1434390840,126.7400,126.9500,126.5200,126.6400,804300
1434391198,126.7300,126.8200,126.6200,126.7500,262900
1434391499,126.8232,126.8400,126.7200,126.7200,231100
1434391740,126.9200,127.0600,126.7850,126.8200,672900
1434392041,127.1100,127.1400,126.9200,126.9200,489900
1434392399,127.1300,127.2400,127.0750,127.1100,499300
1434392698,127.0500,127.1401,127.0400,127.1400,211700
1434392943,127.1100,127.1200,127.0100,127.0500,292600
1434393299,127.0554,127.1500,127.0500,127.1100,180700
1434393598,127.0950,127.1500,127.0200,127.0500,232500
1434393840,126.9900,127.0900,126.9700,127.0900,258800
1434394141,127.0520,127.1000,126.9700,126.9800,242800
1434394441,127.0000,127.0599,126.9500,127.0500,337100
1434394741,126.9300,127.0000,126.8500,126.9900,317500
1434395099,126.8100,126.9601,126.8000,126.9200,258100
1434395340,126.8330,126.8600,126.7401,126.8100,335400
1434395640,126.9356,126.9400,126.7800,126.8300,264000
1434395999,126.8300,126.9350,126.8100,126.9300,237600
1434396243,126.7280,126.8700,126.7200,126.8200,350700
1434396540,126.7300,126.7700,126.6500,126.7300,446000
1434396840,126.7350,126.8000,126.6950,126.7300,344800
1434397140,126.7635,126.8000,126.7290,126.7350,375000
1434397440,127.0500,127.1200,126.7600,126.7668,647200
1434397799,127.0442,127.1000,126.9600,127.0400,521700
1434398099,127.0062,127.0700,126.9700,127.0300,551100
1434398341,126.9300,127.0500,126.9300,126.9900,7267800
1434398400,127.0300,127.0300,126.9200,126.9200,0
